rid,course,date,prize,countryCode
271018,Exeter,1990-01-01,4409,GB
275156,Tramore (IRE),1990-01-01,,IE
282203,Catterick,1990-01-01,3150,GB
298761,Cheltenham,1990-01-01,7700,GB
301118,Windsor,1990-01-01,3312,GB
305074,Leicester,1990-01-01,2400,GB
307119,Exeter,1990-01-01,2840,GB
311645,Southwell (AW),1990-01-01,3030,GB
326302,Catterick,1990-01-01,3220,GB
326330,Southwell (AW),1990-01-01,3450,GB
338528,Windsor,1990-01-01,20900,GB
350951,Fairyhouse (IRE),1990-01-01,,IE
359801,Cheltenham,1990-01-01,5700,GB
385114,Fairyhouse (IRE),1990-01-01,,IE
217419,Leicester,1990-01-01,3680,GB
220139,Windsor,1990-01-01,2460,GB
223266,Exeter,1990-01-01,4270,GB
223492,Windsor,1990-01-01,3815,GB
226059,Exeter,1990-01-01,2560,GB
233657,Exeter,1990-01-01,3840,GB
241606,Windsor,1990-01-01,3689,GB
244247,Leicester,1990-01-01,2830,GB
244461,Windsor,1990-01-01,4095,GB
246672,Fairyhouse (IRE),1990-01-01,,IE
249578,Tramore (IRE),1990-01-01,,IE
253720,Leicester,1990-01-01,4416,GB
254856,Catterick,1990-01-01,1880,GB
1467,Southwell (AW),1990-01-01,3240,GB
16841,Southwell (AW),1990-01-01,4120,GB
22831,Leicester,1990-01-01,2480,GB
30382,Cheltenham,1990-01-01,6540,GB
3086,Fairyhouse (IRE),1990-01-01,,IE
35062,Exeter,1990-01-01,2420,GB
35303,Catterick,1990-01-01,2530,GB
38170,Fairyhouse (IRE),1990-01-01,,IE
38802,Tramore (IRE),1990-01-01,,IE
39216,Southwell (AW),1990-01-01,4040,GB
7364,Tramore (IRE),1990-01-01,,IE
68664,Southwell (AW),1990-01-01,3030,GB
71125,Leicester,1990-01-01,5351,GB
84182,Tramore (IRE),1990-01-01,,IE
90146,Cheltenham,1990-01-01,6480,GB
93366,Cheltenham,1990-01-01,5840,GB
42338,Catterick,1990-01-01,3074,GB
55115,Fairyhouse (IRE),1990-01-01,,IE
55230,Cheltenham,1990-01-01,10030,GB
56909,Tramore (IRE),1990-01-01,,IE
193528,Catterick,1990-01-01,2440,GB
274476,Ayr,1990-01-02,10200,GB
284351,Ayr,1990-01-02,4360,GB
300154,Cheltenham,1990-01-02,8480,GB
300298,Ayr,1990-01-02,2925,GB
304652,Cheltenham,1990-01-02,7490,GB
321857,Southwell (AW),1990-01-02,3390,GB
360301,Cheltenham,1990-01-02,8160,GB
379258,Southwell (AW),1990-01-02,3600,GB
239514,Southwell (AW),1990-01-02,3876,GB
258609,Cheltenham,1990-01-02,9265,GB
19187,Ayr,1990-01-02,3569,GB
31771,Ayr,1990-01-02,4095,GB
84,Ayr,1990-01-02,3000,GB
108907,Cheltenham,1990-01-02,7840,GB
89305,Southwell (AW),1990-01-02,3600,GB
41130,Southwell (AW),1990-01-02,3450,GB
57071,Cheltenham,1990-01-02,5320,GB
179614,Southwell (AW),1990-01-02,3600,GB
207612,Southwell (AW),1990-01-02,3842,GB
266562,Sedgefield,1990-01-03,1880,GB
270529,Sedgefield,1990-01-03,3044,GB
290727,Ayr,1990-01-03,2900,GB
327389,Sedgefield,1990-01-03,3332,GB
350105,Lingfield (AW),1990-01-03,3210,GB
351992,Lingfield (AW),1990-01-03,2310,GB
355891,Sedgefield,1990-01-03,1880,GB
361046,Sedgefield,1990-01-03,2574,GB
362062,Ayr,1990-01-03,3955,GB
237017,Ayr,1990-01-03,5300,GB
247216,Ayr,1990-01-03,2950,GB
173401,Sedgefield,1990-01-03,3200,GB
108720,Lingfield (AW),1990-01-03,2020,GB
67786,Lingfield (AW),1990-01-03,2220,GB
80220,Lingfield (AW),1990-01-03,3270,GB
44154,Ayr,1990-01-03,2725,GB
180049,Ayr,1990-01-03,2875,GB
196539,Lingfield (AW),1990-01-03,2220,GB
278868,Thurles (IRE),1990-01-04,,IE
306165,Thurles (IRE),1990-01-04,,IE
333335,Nottingham,1990-01-04,2840,GB
350884,Lingfield (AW),1990-01-04,3300,GB
368590,Thurles (IRE),1990-01-04,,IE
371428,Lingfield (AW),1990-01-04,3030,GB
386023,Lingfield (AW),1990-01-04,3540,GB
258817,Thurles (IRE),1990-01-04,,IE
12356,Thurles (IRE),1990-01-04,,IE
34574,Lingfield (AW),1990-01-04,3781,GB
104001,Thurles (IRE),1990-01-04,,IE
66881,Nottingham,1990-01-04,4920,GB
51710,Nottingham,1990-01-04,6150,GB
185081,Nottingham,1990-01-04,3600,GB
186499,Nottingham,1990-01-04,2660,GB
192124,Lingfield (AW),1990-01-04,3120,GB
195367,Nottingham,1990-01-04,4920,GB
214260,Lingfield (AW),1990-01-04,3510,GB
278517,Southwell (AW),1990-01-05,2440,GB
280110,Haydock,1990-01-05,4860,GB
290580,Southwell (AW),1990-01-05,2120,GB
313504,Musselburgh,1990-01-05,2340,GB
330059,Musselburgh,1990-01-05,3080,GB
336888,Musselburgh,1990-01-05,2260,GB
338561,Folkestone,1990-01-05,1880,GB
339492,Haydock,1990-01-05,3025,GB
350987,Folkestone,1990-01-05,3615,GB
356320,Haydock,1990-01-05,3710,GB
229531,Southwell (AW),1990-01-05,2354,GB
239727,Folkestone,1990-01-05,1880,GB
253856,Musselburgh,1990-01-05,2940,GB
11533,Southwell (AW),1990-01-05,2464,GB
16161,Haydock,1990-01-05,4680,GB
36838,Folkestone,1990-01-05,2460,GB
61960,Musselburgh,1990-01-05,2375,GB
40573,Folkestone,1990-01-05,3488,GB
40688,Southwell (AW),1990-01-05,2220,GB
41720,Haydock,1990-01-05,5050,GB
49804,Haydock,1990-01-05,3278,GB
53723,Musselburgh,1990-01-05,2754,GB
56597,Southwell (AW),1990-01-05,2200,GB
193491,Musselburgh,1990-01-05,2140,GB
200729,Folkestone,1990-01-05,3720,GB
268655,Southwell (AW),1990-01-06,3150,GB
273737,Market Rasen,1990-01-06,3174,GB
274009,Naas (IRE),1990-01-06,,IE
301649,Haydock,1990-01-06,2883,GB
302486,Haydock,1990-01-06,10601,GB
319318,Haydock,1990-01-06,5500,GB
348469,Naas (IRE),1990-01-06,,IE
349917,Southwell (AW),1990-01-06,4027,GB
382626,Southwell (AW),1990-01-06,3510,GB
383818,Market Rasen,1990-01-06,6049,GB
387568,Sandown,1990-01-06,21800,GB
396914,Naas (IRE),1990-01-06,,IE
218875,Southwell (AW),1990-01-06,3180,GB
233874,Sandown,1990-01-06,11899,GB
241160,Naas (IRE),1990-01-06,,IE
260528,Market Rasen,1990-01-06,3751,GB
18256,Naas (IRE),1990-01-06,,IE
35061,Sandown,1990-01-06,8150,GB
37425,Haydock,1990-01-06,5499,GB
9571,Sandown,1990-01-06,4511,GB
103723,Sandown,1990-01-06,6520,GB
80905,Sandown,1990-01-06,5340,GB
89600,Southwell (AW),1990-01-06,3360,GB
90404,Naas (IRE),1990-01-06,,IE
96835,Southwell (AW),1990-01-06,3330,GB
54479,Market Rasen,1990-01-06,2760,GB
177575,Market Rasen,1990-01-06,4704,GB
197775,Haydock,1990-01-06,4769,GB
201613,Haydock,1990-01-06,2815,GB
206856,Market Rasen,1990-01-06,2460,GB
211645,Naas (IRE),1990-01-06,,IE
274127,Chepstow,1990-01-08,2580,GB
303358,Lingfield (AW),1990-01-08,2380,GB
305305,Lingfield (AW),1990-01-08,2375,GB
321328,Wolverhampton,1990-01-08,4064,GB
344921,Lingfield (AW),1990-01-08,2354,GB
364401,Wolverhampton,1990-01-08,2720,GB
364646,Wolverhampton,1990-01-08,3776,GB
377272,Chepstow,1990-01-08,2720,GB
222802,Lingfield (AW),1990-01-08,2120,GB
233033,Chepstow,1990-01-08,3329,GB
252682,Wolverhampton,1990-01-08,2600,GB
260118,Wolverhampton,1990-01-08,2520,GB
34311,Lingfield (AW),1990-01-08,2280,GB
101285,Chepstow,1990-01-08,4360,GB
109837,Wolverhampton,1990-01-08,4600,GB
82508,Lingfield (AW),1990-01-08,2280,GB
185878,Chepstow,1990-01-08,5951,GB
204666,Chepstow,1990-01-08,3600,GB
322803,Lingfield (AW),1990-01-09,3450,GB
346522,Leicester,1990-01-09,4736,GB
350133,Newton Abbot,1990-01-09,4580,GB
350144,Newton Abbot,1990-01-09,3340,GB
352310,Leicester,1990-01-09,4000,GB
361213,Newton Abbot,1990-01-09,3060,GB
365904,Lingfield (AW),1990-01-09,3150,GB
379220,Lingfield (AW),1990-01-09,3240,GB
215614,Newton Abbot,1990-01-09,2920,GB
221491,Leicester,1990-01-09,1880,GB
226539,Newton Abbot,1990-01-09,4740,GB
67989,Lingfield (AW),1990-01-09,3852,GB
71479,Newton Abbot,1990-01-09,2440,GB
86511,Leicester,1990-01-09,3060,GB
45155,Leicester,1990-01-09,4360,GB
179340,Lingfield (AW),1990-01-09,3480,GB
186480,Lingfield (AW),1990-01-09,3240,GB
201081,Leicester,1990-01-09,1880,GB
266747,Plumpton,1990-01-10,1880,GB
283622,Plumpton,1990-01-10,3330,GB
289215,Kelso,1990-01-10,3240,GB
293363,Kelso,1990-01-10,2160,GB
303920,Kelso,1990-01-10,2320,GB
306813,Southwell (AW),1990-01-10,2472,GB
323987,Punchestown (IRE),1990-01-10,,IE
325750,Southwell (AW),1990-01-10,2220,GB
328379,Kelso,1990-01-10,3248,GB
392823,Plumpton,1990-01-10,3584,GB
233100,Kelso,1990-01-10,2460,GB
238715,Southwell (AW),1990-01-10,2160,GB
240081,Kelso,1990-01-10,2340,GB
244650,Punchestown (IRE),1990-01-10,,IE
246328,Plumpton,1990-01-10,2943,GB
7189,Plumpton,1990-01-10,2440,GB
176776,Plumpton,1990-01-10,1880,GB
101303,Southwell (AW),1990-01-10,2375,GB
63065,Punchestown (IRE),1990-01-10,,IE
67384,Southwell (AW),1990-01-10,2160,GB
75450,Punchestown (IRE),1990-01-10,,IE
77634,Kelso,1990-01-10,3220,GB
45285,Southwell (AW),1990-01-10,2320,GB
52425,Punchestown (IRE),1990-01-10,,IE
192594,Punchestown (IRE),1990-01-10,,IE
194705,Punchestown (IRE),1990-01-10,,IE
211981,Kelso,1990-01-10,2553,GB
271549,Wincanton,1990-01-11,5500,GB
343502,Punchestown (IRE),1990-01-11,,IE
350036,Southwell (AW),1990-01-11,3240,GB
361031,Southwell (AW),1990-01-11,3150,GB
368925,Southwell (AW),1990-01-11,3877,GB
381912,Punchestown (IRE),1990-01-11,,IE
394824,Wincanton,1990-01-11,2680,GB
224285,Wincanton,1990-01-11,2660,GB
261068,Southwell (AW),1990-01-11,3600,GB
34519,Wincanton,1990-01-11,3300,GB
34775,Wincanton,1990-01-11,2720,GB
9961,Punchestown (IRE),1990-01-11,,IE
65732,Punchestown (IRE),1990-01-11,,IE
73238,Punchestown (IRE),1990-01-11,,IE
91818,Wincanton,1990-01-11,4000,GB
41513,Southwell (AW),1990-01-11,3540,GB
47528,Wincanton,1990-01-11,3455,GB
196834,Punchestown (IRE),1990-01-11,,IE
200167,Southwell (AW),1990-01-11,3810,GB
299436,Ascot,1990-01-12,17100,GB
317082,Musselburgh,1990-01-12,1880,GB
331006,Wetherby,1990-01-12,3025,GB
362477,Musselburgh,1990-01-12,2420,GB
367488,Wetherby,1990-01-12,2700,GB
375619,Musselburgh,1990-01-12,2943,GB
394336,Ascot,1990-01-12,4240,GB
400917,Lingfield (AW),1990-01-12,2080,GB
216976,Lingfield (AW),1990-01-12,2160,GB
219744,Musselburgh,1990-01-12,2220,GB
237510,Wetherby,1990-01-12,4129,GB
241200,Lingfield (AW),1990-01-12,2140,GB
250327,Ascot,1990-01-12,21960,GB
263931,Wetherby,1990-01-12,2560,GB
15534,Lingfield (AW),1990-01-12,2320,GB
9543,Ascot,1990-01-12,5080,GB
173916,Wetherby,1990-01-12,3300,GB
