rid,course,date,prize,countryCode,year
271018,Exeter,1990-01-01,4409,GB,1990
275156,Tramore (IRE),1990-01-01,,IE,1990
282203,Catterick,1990-01-01,3150,GB,1990
298761,Cheltenham,1990-01-01,7700,GB,1990
301118,Windsor,1990-01-01,3312,GB,1990
305074,Leicester,1990-01-01,2400,GB,1990
307119,Exeter,1990-01-01,2840,GB,1990
311645,Southwell (AW),1990-01-01,3030,GB,1990
326302,Catterick,1990-01-01,3220,GB,1990
326330,Southwell (AW),1990-01-01,3450,GB,1990
338528,Windsor,1990-01-01,20900,GB,1990
350951,Fairyhouse (IRE),1990-01-01,,IE,1990
359801,Cheltenham,1990-01-01,5700,GB,1990
385114,Fairyhouse (IRE),1990-01-01,,IE,1990
217419,Leicester,1990-01-01,3680,GB,1990
220139,Windsor,1990-01-01,2460,GB,1990
223266,Exeter,1990-01-01,4270,GB,1990
223492,Windsor,1990-01-01,3815,GB,1990
226059,Exeter,1990-01-01,2560,GB,1990
233657,Exeter,1990-01-01,3840,GB,1990
241606,Windsor,1990-01-01,3689,GB,1990
244247,Leicester,1990-01-01,2830,GB,1990
244461,Windsor,1990-01-01,4095,GB,1990
246672,Fairyhouse (IRE),1990-01-01,,IE,1990
249578,Tramore (IRE),1990-01-01,,IE,1990
253720,Leicester,1990-01-01,4416,GB,1990
254856,Catterick,1990-01-01,1880,GB,1990
1467,Southwell (AW),1990-01-01,3240,GB,1990
16841,Southwell (AW),1990-01-01,4120,GB,1990
22831,Leicester,1990-01-01,2480,GB,1990
30382,Cheltenham,1990-01-01,6540,GB,1990
3086,Fairyhouse (IRE),1990-01-01,,IE,1990
35062,Exeter,1990-01-01,2420,GB,1990
35303,Catterick,1990-01-01,2530,GB,1990
38170,Fairyhouse (IRE),1990-01-01,,IE,1990
38802,Tramore (IRE),1990-01-01,,IE,1990
39216,Southwell (AW),1990-01-01,4040,GB,1990
7364,Tramore (IRE),1990-01-01,,IE,1990
68664,Southwell (AW),1990-01-01,3030,GB,1990
71125,Leicester,1990-01-01,5351,GB,1990
84182,Tramore (IRE),1990-01-01,,IE,1990
90146,Cheltenham,1990-01-01,6480,GB,1990
93366,Cheltenham,1990-01-01,5840,GB,1990
42338,Catterick,1990-01-01,3074,GB,1990
55115,Fairyhouse (IRE),1990-01-01,,IE,1990
55230,Cheltenham,1990-01-01,10030,GB,1990
56909,Tramore (IRE),1990-01-01,,IE,1990
193528,Catterick,1990-01-01,2440,GB,1990
274476,Ayr,1990-01-02,10200,GB,1990
284351,Ayr,1990-01-02,4360,GB,1990
300154,Cheltenham,1990-01-02,8480,GB,1990
300298,Ayr,1990-01-02,2925,GB,1990
304652,Cheltenham,1990-01-02,7490,GB,1990
321857,Southwell (AW),1990-01-02,3390,GB,1990
360301,Cheltenham,1990-01-02,8160,GB,1990
379258,Southwell (AW),1990-01-02,3600,GB,1990
239514,Southwell (AW),1990-01-02,3876,GB,1990
258609,Cheltenham,1990-01-02,9265,GB,1990
19187,Ayr,1990-01-02,3569,GB,1990
31771,Ayr,1990-01-02,4095,GB,1990
84,Ayr,1990-01-02,3000,GB,1990
