rid,course,date,prize,countryCode,condition,winningTime
271018,Exeter,1990-01-01,4409,GB,Soft,398.3
275156,Tramore (IRE),1990-01-01,,IE,Soft,267
282203,Catterick,1990-01-01,3150,GB,Good To Firm,238
298761,Cheltenham,1990-01-01,7700,GB,Good To Firm,243.8
301118,Windsor,1990-01-01,3312,GB,Good,330.7
305074,Leicester,1990-01-01,2400,GB,Good,226.6
307119,Exeter,1990-01-01,2840,GB,Soft,261.2
311645,Southwell (AW),1990-01-01,3030,GB,Standard,76.4
326302,Catterick,1990-01-01,3220,GB,Good To Firm,390.3
326330,Southwell (AW),1990-01-01,3450,GB,Standard,99.3
338528,Windsor,1990-01-01,20900,GB,Good,228.1
350951,Fairyhouse (IRE),1990-01-01,,IE,Yielding,283.9
359801,Cheltenham,1990-01-01,5700,GB,Good To Firm,250.1
385114,Fairyhouse (IRE),1990-01-01,,IE,Yielding,360.39
217419,Leicester,1990-01-01,3680,GB,Good To Firm,256.5
220139,Windsor,1990-01-01,2460,GB,Good,240.7
223266,Exeter,1990-01-01,4270,GB,Soft,292.5
223492,Windsor,1990-01-01,3815,GB,Good To Firm,245.1
226059,Exeter,1990-01-01,2560,GB,Soft,255.6
233657,Exeter,1990-01-01,3840,GB,Soft,257.2
241606,Windsor,1990-01-01,3689,GB,Good To Firm,242.9
244247,Leicester,1990-01-01,2830,GB,Good,355.9
244461,Windsor,1990-01-01,4095,GB,Good To Firm,367.5
246672,Fairyhouse (IRE),1990-01-01,,IE,Yielding,232.2
249578,Tramore (IRE),1990-01-01,,IE,Soft,260.2
253720,Leicester,1990-01-01,4416,GB,Good To Firm,313.6
254856,Catterick,1990-01-01,1880,GB,Good,226.9
1467,Southwell (AW),1990-01-01,3240,GB,Standard,75.5
16841,Southwell (AW),1990-01-01,4120,GB,Standard,97.5
22831,Leicester,1990-01-01,2480,GB,Good,300.2
30382,Cheltenham,1990-01-01,6540,GB,Good To Firm,249.3
3086,Fairyhouse (IRE),1990-01-01,,IE,Yielding,226.6
